"Volumen de EDTA (mL)","pCa-1","pCa-2","pCa-3","NA","NA"
0.0519653300950128,1.76,0.0690043007029054,1.76,0.0242844942317331,1.75
0.221214229190435,1.77,0.238310816543467,1.77,0.196796580262106,1.76
0.387720053571836,1.78,0.404873323859723,1.78,0.366535221691218,1.77
0.551505882549705,1.79,0.568714909819002,1.79,0.533522851018883,1.78
0.712595466043921,1.8,0.729859332426319,1.8,0.697782614338737,1.79
0.871013184391111,1.81,0.888330980318045,1.81,0.859338330294307,1.8
1.02678400891968,1.82,1.04415483332353,1.82,1.01821444977006,1.81
1.17993346332404,1.83,1.19735642382615,1.83,1.17443601635236,1.82
1.33048758586602,1.84,1.34796179895188,1.84,1.32802862759191,1.83
1.47847289242851,1.85,1.49599748361037,1.85,1.47901839709583,1.84
1.62391634044308,1.86,1.64149044441025,1.86,1.62743191747434,1.85
1.76684529371045,1.87,1.78446805446764,1.87,1.77329622416405,1.86
1.90728748812974,1.88,1.92495805912374,1.88,1.91663876014659,1.87
2.04527099834984,1.89,2.06298854258482,1.89,2.05748734157872,1.88
2.18082420535337,1.9,2.1985878954952,1.9,2.19587012434718,1.89
2.31397576498156,1.91,2.33178478345134,1.91,2.3318155715589,1.9
2.44475457740559,1.92,2.46260811646288,1.92,2.46535242197473,1.91
2.57318975754812,1.93,2.59108701936398,1.93,2.59650965939252,1.92
2.69931060645615,1.94,2.71725080317658,1.94,2.72531648298299,1.93
2.82314658362484,1.95,2.84112893742466,1.95,2.85180227857981,1.94
2.94472728026963,1.96,2.96275102339735,1.96,2.9759965909233,1.95
3.06408239354241,1.97,3.08214676835629,1.97,3.09792909685524,1.96
3.18124170168587,1.98,3.19934596068153,1.98,3.21762957946039,1.97
3.29623504011861,1.99,3.3143784459485,1.99,3.335127903149,1.98
3.40909227844199,2,3.42727410392701,2,3.45045398967266,1.99
3.51984329835871,2.01,3.53806282649236,2.01,3.56363779506469,2
3.62851797249163,2.02,3.64677449643689,2.02,3.67470928749476,2.01
3.73514614409025,2.03,3.75343896716963,2.03,3.78369842602642,2.02
3.83975760761155,2.04,3.85808604329041,2.04,3.89063514026494,2.03
3.94238209016043,2.05,3.96074546202412,2.05,3.99554931088185,2.04
4.04304923377486,2.06,4.06144687549972,2.06,4.09847075100176,2.05
4.14178857853936,2.07,4.16021983385806,2.07,4.19942918843621,2.06
4.2386295465105,2.08,4.25709376917181,2.08,4.29845424874829,2.07
4.33360142643688,2.09,4.35209798016033,2.09,4.39557543913163,2.08
4.42673335925614,2.1,4.44526161768168,2.1,4.49082213308619,2.09
4.5180543243506,2.11,4.53661367098364,2.11,4.58422355587326,2.1
4.60759312654322,2.12,4.62618295469515,2.12,4.67580877073138,2.11
4.69537838381484,2.13,4.71399809653948,2.13,4.76560666583459,2.12
4.78143851572395,2.14,4.80008752574998,2.14,4.85364594197425,2.13
4.86580173250947,2.15,4.88447946216918,2.15,4.93995510094519,2.14
4.94849602485747,2.16,4.96720190601203,2.16,5.02456243461704,2.15
5.02954915431217,2.17,5.04828262827362,2.17,5.10749601467125,2.16
5.10898864431206,2.18,5.12774916176223,2.18,5.18878368298447,2.17
5.18684177183143,2.19,5.20562879273811,2.19,5.26845304263858,2.18
5.26313555960833,2.2,5.28194855313863,2.2,5.34653144953818,2.19
5.33789676893926,2.21,5.3567352133707,2.21,5.42304600461595,2.2
5.41115189302195,2.22,5.43001527565115,2.22,5.49802354660656,2.21
5.48292715082697,2.23,5.5018149678763,2.23,5.57149064537016,2.22
5.55324848147951,2.24,5.57216023800183,2.24,5.64347359574625,2.23
5.62214153913286,2.25,5.64107674891452,2.25,5.71399841191922,2.24
5.68963168831526,2.26,5.70858987377751,2.26,5.78309082227698,2.25
5.75574399973218,2.27,5.77472469183114,2.27,5.8507762647444,2.26
5.82050324650623,2.28,5.8395059846316,2.28,5.91707988257336,2.27
5.88393390083742,2.29,5.90295823271002,2.29,5.98202652057184,2.28
5.94606013106654,2.3,5.96510561263488,2.3,6.04564072175447,2.29
6.00690579912505,2.31,6.02597199446106,2.31,6.10794672439747,2.3
6.06649445835512,2.32,6.08558093954905,2.32,6.16896845948115,2.31
6.12484935168357,2.33,6.14395569873837,2.33,6.22872954850358,2.32
6.18199341013433,2.34,6.20111921085942,2.34,6.28725330164933,2.33
6.23794925166394,2.35,6.25709410156868,2.35,6.34456271629757,2.34
6.29273918030525,2.36,6.31190268249207,2.36,6.40068047585424,2.35
6.34638518560488,2.37,6.36556695066222,2.37,6.45562894889324,2.36
6.39890894234013,2.38,6.41810858823529,2.38,6.50943018859227,2.37
6.45033181050181,2.39,6.46954896247378,2.39,6.56210593244896,2.38
6.50067483552948,2.4,6.5199091259819,2.4,6.61367760226358,2.39
6.5499587487863,2.41,6.56920981718051,2.41,6.66416630437505,2.4
6.59820396826075,2.42,6.61747146100913,2.42,6.71359283013708,2.41
6.64543059948323,2.43,6.66471416984282,2.43,6.76197765662195,2.42
6.69165843664561,2.44,6.71095774461217,2.44,6.80934094753982,2.43
6.73690696391246,2.45,6.7562216761149,2.45,6.85570255436143,2.44
6.78119535691282,2.46,6.80052514650817,2.46,6.90108201763319,2.45
6.82454248440193,2.47,6.84388703097087,2.47,6.94549856847324,2.46
6.86696691008261,2.48,6.88632589952569,2.48,6.98897113023798,2.47
6.90848689457646,2.49,6.92786001901085,2.49,7.03151832034877,2.48
6.94912039753521,2.5,6.9685073551923,2.5,7.07315845226878,2.49
6.9888850798831,2.51,7.00828557500679,2.51,7.11390953762047,2.5
7.02779830618141,2.52,7.04721204892723,2.52,7.15378928843446,2.51
7.06587714710663,2.53,7.08530385344172,2.53,7.19281511952093,2.52
7.10313838203413,2.54,7.12257777363805,2.54,7.23100415095492,2.53
7.13959850171937,2.55,7.15905030588589,2.55,7.2683732106675,2.54
7.17527371106926,2.56,7.194737660609,2.56,7.30493883713473,2.55
7.21017993199623,2.57,7.2296557651404,2.57,7.34071728215704,2.56
7.24433280634841,2.58,7.26382026665341,2.58,7.37572451372161,2.57
7.27774769890887,2.59,7.29724653516204,2.59,7.40997621894092,2.58
7.31043970045797,2.6,7.32994966658427,2.6,7.44348780706078,2.59
7.34242363089249,2.61,7.36194448586231,2.61,7.47627441253149,2.6
7.37371404239584,2.62,7.3932455501339,2.62,7.50835089813599,2.61
7.4043252226539,2.63,7.42386715194916,2.63,7.53973185816931,2.62
7.43427119811099,2.64,7.45382332252778,2.64,7.57043162166361,2.63
7.46356573726119,2.65,7.48312783505136,2.65,7.60046425565367,2.64
7.49222235397004,2.66,7.51179420798634,2.66,7.62984356847767,2.65
7.52025431082221,2.67,7.5398357084327,2.67,7.65858311310856,2.66
7.54767462249062,2.68,7.56726535549433,2.68,7.68669619051138,2.67
7.57449605912313,2.69,7.59409592366679,2.69,7.71419585302213,2.68
7.60073114974263,2.7,7.62033994623864,2.7,7.74109490774427,2.69
7.62639218565712,2.71,7.64600971870258,2.71,7.76740591995867,2.7
7.65149122387598,2.72,7.67111730217299,2.72,7.79314121654353,2.71
7.67604009052932,2.73,7.69567452680636,2.73,7.81831288940056,2.72
7.70005038428722,2.74,7.71969299522176,2.74,7.8429327988842,2.73
7.72353347977582,2.75,7.74318408591801,2.75,7.86701257723079,2.74
7.74650053098753,2.76,7.76615895668518,2.76,7.89056363198451,2.75
7.76896247468282,2.77,7.78862854800736,2.77,7.91359714941751,2.76
7.79093003378083,2.78,7.81060358645462,2.78,7.93612409794147,2.77
7.81241372073686,2.79,7.83209458806151,2.79,7.9581552315081,2.78
7.83342384090421,2.8,7.85311186169008,2.8,7.97970109299639,2.79
7.8539704958785,2.81,7.87366551237537,2.81,8.00077201758411,2.8
7.87406358682258,2.82,7.89376544465143,2.82,8.02137813610191,2.81
7.89371281777008,2.83,7.91342136585598,2.83,8.04152937836779,2.82
7.91292769890612,2.84,7.93264278941227,2.84,8.06123547650024,2.83
7.93171754982355,2.85,7.95143903808641,2.85,8.08050596820843,2.84
7.95009150275321,2.86,7.96981924721871,2.86,8.09935020005788,2.85
7.96805850576695,2.87,7.98779236792786,2.87,8.11777733071004,2.86
7.98562732595231,2.88,8.00536717028658,2.88,8.13579633413469,2.87
8.00280655255735,2.89,8.02255224646764,2.89,8.15341600279364,2.88
8.01960460010505,2.9,8.03935601385923,2.9,8.17064495079482,2.89
8.03602971147597,2.91,8.05578671814873,2.91,8.18749161701561,2.9
8.05208996095848,2.92,8.07185243637392,2.92,8.20396426819442,2.91
8.06779325726565,2.93,8.08756107994098,2.93,8.22007100198978,2.92
8.08314734651831,2.94,8.10292039760848,2.94,8.23581975000599,2.93
8.09815981519331,2.95,8.11793797843668,2.95,8.25121828078474,2.94
8.11283809303668,2.96,8.1326212547017,2.96,8.26627420276196,2.95
8.12718945594109,2.97,8.14697750477395,2.97,8.28099496718939,2.96
8.14122102878715,2.98,8.16101385596036,2.98,8.2953878710204,2.97
8.15493978824811,2.99,8.1747372873101,2.99,8.30946005975944,2.98
8.16835256555783,3,8.18815463238342,3,8.32321853027499,2.99
8.1814660492415,3.01,8.20127258198339,3.01,8.33667013357539,3
8.19428678780904,3.02,8.21409768685013,3.02,8.34982157754758,3.01
8.20682119241098,3.03,8.22663636031763,3.03,8.36267942965828,3.02
8.21907553945661,3.04,8.23889488093281,3.04,8.37525011961749,3.03
8.23105597319442,3.05,8.2508793950368,3.05,8.38753994200429,3.04
8.24276850825465,3.06,8.26259591930842,3.06,8.39955505885473,3.05
8.25421903215411,3.07,8.27405034326978,3.07,8.41130150221176,3.06
8.26541330776312,3.08,8.28524843175406,3.08,8.42278517663727,3.07
8.27635697573465,3.09,8.29619582733558,3.09,8.43401186168614,3.08
8.28705555689592,3.1,8.30689805272209,3.1,8.44498721434255,3.09
8.29751445460235,3.11,8.3173605131096,3.11,8.45571677141836,3.1
8.30773895705413,3.12,8.3275884984997,3.12,8.46620595191394,3.11
8.31773423957553,3.13,8.33758718597966,3.13,8.47646005934143,3.12
8.32750536685719,3.14,8.34736164196553,3.14,8.48648428401069,3.13
8.33705729516159,3.15,8.35691682440824,3.15,8.49628370527806,3.14
8.34639487449185,3.16,8.36625758496329,3.16,8.50586329375816,3.15
8.35552285072431,3.17,8.37538867112393,3.17,8.5152279134991,3.16
